SampledDate,% Volatile Suspended Solids,Ammonia as N,Analysis Date/Time,Apparent Color,Arsenic,Biochemical Oxygen Demand,Cadmium,Chemical Oxygen Demand,Chromium,Cobalt,Copper,Lead,Mercury,Method Reference,Molybdenum,Nickel,Phosphorus-total,SARS-COV2,Sample Amount,Selenium,Settleable Solids,Subcontract Lab ID,Sulfur,TSS - Change in Wt,Total Nitrogen,Total Suspended Solids,True Color,Volatile Acids,Volatile Suspended Solids,Zinc,pH,pH Apparent Color
2025-09-16,98,32,,1964,,856,,408,,,,,,,,,,,1000,,15,,26.2,1.27,,435,352,390,425,,6.64,6.64
2025-09-17,96,55,,2485,,668,,695,,,,,,,,,,,1000,,4.5,,32.1,0.67,,294,1580,487,282,,6.05,6.05
2025-09-18,97,42.9,,2020,,712,,960,,,,,,,,,,,1000,,4,,28.6,2.50,,260,960,442,252,,6.36,6.36
2025-09-19,94,22.5,,3830,,867,,1670,,,,,,,,,,,1000,,13,,18.4,0.28,,527,570,515,496,,6.78,6.78
2025-09-20,93,23.4,,3200,,815,,1340,,,,,,,,,,,1000,,13,,33.5,0.10,,516,860,375,477,,6.69,6.69
2025-09-21,96,23.3,,600,,427,,1100,,,,,,,,,,,1000,,12,,19.4,3.16,,363,,303,348,,6.66,6.66
2025-09-22,92,23.3,,2010,,676,,1260,,,,,,,,,,,1000,,4.5,,13.7,0.24,,208,760,333,191,,6.73,6.73
2025-09-23,95,24.1,,2550,,776,,1350,,,,,,,,,,,1000,,6,,31.6,2.06,,291,,357,277,,6.60,6.60
2025-09-24,75,15,,2980,,614,,1100,,,,,,,,,,,1000,,7,,29.9,2.41,,518,1120,135,388,,7.45,7.45
2025-09-25,89,27.6,,5880,,762,,2640,,,,,,,,,,,1000,,10,,21.6,0.35,,427,1960,299,379,,6.86,6.86
2025-09-26,91,35.8,,2660,,660,,1160,,,,,,,,,,,1000,,9,,32.1,3.12,,369,520,330,335,,6.04,6.04
2025-09-27,98,70,,3150,,742,,1660,,,,,,,,,,,1000,,10,,21.4,0.46,,406,1200,339,396,,6.33,6.33
2025-09-28,97,33.3,,2660,,419,,1040,,,,,,,,,,,1000,,10,,24.4,2.98,,308,570,293,300,,6.10,6.10
